titulo,texto
Calendário JPB volta ao Grotão-4471493.wav,hora comunidad volta calçamento tempo passo terraplanagem buraco geladeira última visita terraplanagem prazo serviço melhor máquina máquina caçamba aterro música celular serviço esgoto termin piru chuva casa canto galeria água pluvial água chuva buraco água risco solução seinfra aterro setor engenharia seinfra água chuva serviço certo plana carro serviço galeria terra água galeria casa sogra história calçamento serviço terraplanagem prazo pacot serviço calçamento empresa contrato obra secretário secretário empresa serviço outubro
Calendário JPB vai até o bairro do Alto Branco cobrar solução para esgoto estourado-6130081.wav,investigaçõ olha alto branco contato produção expedição cabelo perfil situação esgoto órgão resolva mundo principai cidad pedido população ordem grisi cheiro noção aberto cheguei trabalho estrada modalidad filho cheiro cheiro ruim hein cheiro mulher porta casa porta casa mulher rede esgoto esgoto caixa vazamento situação cheiro horrível horrível horrível casa todinho casa doent conta infecção pulmão conta pior condiçõ horrível recent mensagem esgoto taxa esgoto conta água japa
"Calendário JPB volta ao Marcos Moura, em Santa Rita-7666759.wav",comunidad pessoa hora ginásio verdad trabalho expectativa simbora altura máquina vejo negócio trabalho coluna velho rapaz ginásio ginásio ruim estrutura modelo esport problema comunidad reclamava quantidad mato lixo later mont máquina toma limpeza beleza tira lixo máquina pessoa costa morador bota dia comigo homem-aranha embaixo quadra direito bonita pronto ligeiro ginástica menino tamanho bola traz criançada atividad ginásio senhor espaço atividad processo comunidad comunidad ano espaço ciúm espaço lazer criança faixa etária diferent ambient ginásio aperto coração aperto coração criança maneira criança esport patin bicicleta situação mato população lixo entulho situação março pregão pregão presenci contratação empresa elaboração projeto complementar correçõ restriçõ fome
Calendário JPB tem carimbo de resolvido na Escola Municipal Cassiano Pascoal-6000120.wav,resultado luta antiga cobertura escola recesso aula surpresa professora diretora escola menina escola realidad sorriso rosto feliz feliz ambient escola criança conforto espaço criança atividad física sala aula ampla ambientação sorriso rosto pequenininha apertadinha criança sala verdad arranjo hora princip reivindicação professor pai aluno espaço quadra atividad física recreio chuva escola pass quadra professor atividad intensidad atividad temperatura quadra blusa proteção protetor rosto conta patriota sofia atividad física escola história legal filho tamanho tranquilo feliz prédio gosto sorriso
Moradores chamam e Calendário JPB vai até Paratibe-6431013.wav,bronca vivo situação lixo esgoto buraqueira cara hora lixo seman hora esgoto situação história janeiro vivo problema prazo confiant certo descaso mulher situação casa lixo resto planta mala velha lixo doméstico frent tomada lixo resto poda crech lixarada crech lixo planta seguint limpeza crech limpeza sujeira senhora dona casa limpeza serviço entendo criança anda velhinho manda carro carro motorista tamanho buraco carro eleição buraco volto benefício lixo lixo máquina nivelada solução chuva volta
Calendário JPB cobra construção de academia para moradores-5655688.wav,super cheio alegria pracinha obra jeito volta revitalização praça etapa prazo prazo processo licitatório mont promessa bonito playground quadra revitalização canal limpeza entulho lixo olha duro conta sozinho alguém fiscal máquina aula lixinho negócio serraria entulho população jeito costa ninguém espaço público lixo representant diga coleta lixo terça consciência espaço público próprio espaço lixo terreno baldio contato secretário obra processo andamento burocracia processo licitatório última abril data limpeza data volta prefeitura promessa
Calendário JPB volta a Varzea Nova-5859920.wav,casa rio calçamento segura antigo visita trabalho água chão cano comum situação calçamento preciso destino água infraestrutura calçamento transitável época chuva situação difícil carro pessoa ambulância porta marido semana ambulância casa difícil rápido reparo ministério público visita situação natureza cidad engenharia solução serviço reparo calçamento solução início última reportagem secretário infraestrutura projeto definitiva secretário piorada conta chuva conta chuva quantidad água drenagem última casamento casamento drenagem quantidad água rua secretaria chuva água março quantidad água natur drenagem região
Calendário JPB volta à Comunidade do S-4537407.wav,comunidad obra acordo etapa iniciai obra habitação comunidad aterro infraestrutura comunidad obra jeito pinguinho aterro acordo projeto obra sinal última visita certo última concreto obra licitação produção secretária obra processo licitatório razão processo licitatório estudo impacto ambient atraso telefon licitação obra citação obra concreto obra início resposta resumo produção telefon razão comunidad carimbo obra licitação licitação pronta secretária essa prazo janeiro pertinho data agenda digit editor reportagem seguint janeiro obra volta tamo fevereiro fevereiro control secretaria
Calendário JPB volta ao IFPB em Cabedelo-6709588.wav,assunto conhecimento profissionai futuro passagem indício reportagem obra funcionário estudant pronta condiçõ carro montanha entulho mal-resolvido pronto pessoa bicicleta moto trânsito interfac conta proximidad passagem comunidad torno liberação obra cbtu passagem cavaleiro proximidad comunidad fechada passagem cbtu manhã técnico graça passagem materi frent trânsito determinação implantação sinalização passagem materi passagem data certinho inauguração passagem carro reportagem mont estudant carimbo andamento pertinho melhor quinta-feira obra notícia melhor benefício comunidad interna externa aresta comunidad garantia fato acesso
Calendário JPB mostra obra concluída em Bayeux-6870130.wav,colônia féria julho salvação salvação pai diversão criança tranquilidad féria combina diversão craqu amizad turminha nome féria bora campo futebol brincadeira medo medo futebol sabão opção criançada colônia féria forma sinuca basquet jogo totó videogam
Calendário JPB - Emlur atende pedido dos moradores no Parque do Sol-6175194.wav,12:16 barra você lixo terreno começo visita situação início semana situação dramática terreno mato lixo entulho materi insegurança noit exército mulher situação hora janela porta quarta-feira trabalho limpeza terreno mulher vizinha terreno quarta-feira trabalho pequeno caçamba quarta-feira volta 9:30 caçamba lixo mato total trabalho trabalho resultado particular responsabilidad limpo responsabilidad proprietário proprietário limpeza cabeça comunidad pedido dono terreno conta responsabilidad tramitação conta detalh história sujeirada important locai locai entulho conscientização educação important important muriçoca casa loja prédio princip conta mosquito mosquito dengu pretinho hora porta janela mosquito ele mosquito
"Após mais de um ano de cobranças do Calendário JPB, rua é calçada em Campina Grande-5558135.wav",cobrança volta carimbo tela sorriso sorriso sorriso luta luta lutamo seguint pedra pintura semana cocô diga ninguém roupa detalh poeira jeito luta agosto briga hora trecho secretaria obra restinho dinheiro calçamento verba quadra promessa trabalho paciência comunidad promessa casamento churrasco vaca brejo vaca churrasco secretário nita cadê cadê churrasco churrasco vaca verdad surpresa churrasco foss lanch bolo queijo café churrasco cafezinho agradecimento trabalho obra mundo comunidad
Calendário JPB - estudantes pedem quadro e ganham reforma na escola inteira em Santa Rita-6819387.wav,hora jogo copa outubro honorina reforma quadra esport situação feia reforma quadra escola inteira felicidad quadra alegria honorina popular jeito bolinha quadra bola murcha ruim galera feliz vida causa ginásio jeito bonito diferent diferent senhora beleza maravilhosa futsal handebol esport show bola quadra ginásio restant escola pacot completo quadra present reforma aluno cadeirant condiçõ quadra acesso acessibilidad horta próprio própria verdura hortaliça tipo planta adição agrotóxico veneno produção alimento escola situação calor sala aula trabalho escola reforma reforma elétrica hidráulica estrutura escola pintura ginásio secretaria educação escola pessoa ginásio vontad bola
Calendário JPB volta a Bayeux e cobra conclusão de obra-6753450.wav,parada notícia bicicleta última reportagem moto fácil difícil ladeira difícil cheio motivo comunidad homem equilíbrio pneu bicicleta moto show hora mato lixo sujeira pedra secretário infraestrutura secretário compromisso pressão secretário dificuldad cidad acredito solução quantidad lixo quantidad lixo empresa hora puxão orelha comunidad lixo mato consciência suja secretário calçamento senhor chuva verdad junho agendado pouquinho prazo serviço julho pouquinho paciência dificuldad seguint cariba diretor andamento notícia pertinho prazo carinho julho volta
Calendário JPB volta à praça no Castelo Branco-5673465.wav,visita capit diga coisa realidad acúmulo lixo mato limpeza esperança projeto ofici reforma decisão prefeito requalificaçõ diferença projeto diferença diretoria paisagismo sedurb definitivo projeto paisagístico orçamentário planejamento planejamento orçamentária física passeio construção quadra desejo iluminação física inseri academia atividad física comunidad processo licitatório processo licitatório ordem serviço execução serviço requalificação ureia solicitação pronta planejamento processo licitatório demora prazo senhora dia secretário paisagismo maravilhoso trabalho ator cultura afinidad especi criançada brincadeira difícil começo atividad criança mãe criança atividad causa escorpião perigoso criança unidad mont lixo liga fizemo intervençõ poda ave levantamento copa limpeza relvado
Calendário JPB de volta! E a equipe vai ao Planalto da Boa Esperança-5349548.wav,meio-dia equip orgulhosa parceria comunidad certo trabalho única iluminação contar passagem noit frio escuridão casa colega transformação empresa responsável construção condomínio iluminação lâmpada post benefício condomínio aguard legal missão parceria comunidad volta conta período eleitor julgamento pessoa parceria fácil informaçõ vídeo foto acento@cabo telefon contato liga redação comunicação flagrant notícia boa notícia
Calendário JPB volta à cidade de Santa Rita-6672568.wav,honorina depósito luta insistência diga sensação quem outubro escola diferença rampa piso inadequado objetivo escola bota capacet ambient obra escola escola pronto detalh pintura par curiosidad vinagr ambient cobertura escola pré-escola diferent amiga condiçõ suspens porta linda chão brilha lindo piso fase obra pronto piso pronto pronto solicitação aluno vestiário banheiro pintura piso escola edição diferent piso infraestrutura banheiro vestiário masculino acessibilidad cadeira roda carimbo andamento andamento sabor carinho andamento prazo testa segurança festa
Calendário JPB volta a Santa Rita-7434902.wav,cidadão linha papel papel palhaço público resposta situação cultur música nariz palhaço reforma espaço decent calor chão quent chuva noit condição jeito rapaz reclamação abril construtora obra ginásio pagamento claro obra pedido orçamentária anual verba complementar obra todinho mato ferrugem conta estrutura entulho redor ginásio olha jeito perrengu verdad ano trist realidad violência público quadra oficina culturai visita firm firm fort comunidad direito direito lazer criança direito esport dança música enfim possibilidad noit horário obra lixo descaso respeito população carinho sexta-feira alguém licitação empresa decent
Calendário JPB volta a Massaranduba-4784958.wav,obra bendito muro arrimo casa casa chuva barreira tubulação rede esgoto terreno recurso obra muro arrimo deslizamento estrutura desmorona projeto pronto liberação verba federai obra mostramo dezembro aluguel social família ela casa família recuperação rede esgoto segurança casa volta prefeita conversa equip horário prefeita passo coordenador documento obra governo feder dinheiro lista município recurso governo obra governo conhecimento realidad plano trabalho governo fato muita notificação documentação inteiro sabedor plano trabalho verba disponível dia governo obra fato força governo junto prazo obra projeto recurso área risco senhor coordenador família risco desastr sombra dúvida risco desastr
Saiba mais sobre o calendário de pagamentos do PIS_Pasep-7847257.wav,pagamento iniciativa privada público assunto dinheirinho anotaçõ informaçõ bono iniciativa privada servidor público quem órgão federai servidor público modo quem empresa privada atento data aniversário público inscrição inscrição atento hora julho dezembro inscrição dinheirinho agosto iniciativa privada público inscrição abono salário mínimo mundo seguint carteira assinada mínimo salário-mínimo dinheirinho important cartão cidadão saqu agência cartão cidadão pessoa depósito servidor público depósito documentação carteira trabalho documentação emprego agência dinheirinho dinheiro bem-vinda hein servidor iniciativa iniciativa privada direito servidor público
'Calendário JPB' consegue resolver problema em creche de João Pessoa-5481575.wav,notícia mãe criança crech pertinho lagoa ajuda caixa risco trabalho volta notícia ótima carimbo filho crech buriti conta caixa água torneira jeito situação trabalho água expedient volto casa fico hora emprego perdi emprego conta medo hora crech estrutura volta matéria diretoria crech contato semana semana água exato criança problema surpresa setor engenharia secretaria educação casa caixa plástico paliativo caixa antiga fibra reserva ação ligação ligaçõ direto reservatório crech estrutura antiga fibra estrutura prática rápido caixa fibra demanda certo certo torneira crech água bebedouro criança torneira agradeço nome sufoco diretora senhora reportagem aperriada comigo sorriso canto canto feliz tranquila mundo satisfeito crech
"Calendário JPB volta à escola no bairro do Cristo, em João Pessoa-6617471.wav",hora escola municip manutenção chovia água novidad nuvem escura mãe filho escola goteira aula later escola telhado informação homen semana escola semana quarta-feira semana criança casa criança diretora possibilidad entrada escola autorização refeitório escola gesso sala aula sala aula refeitório calha aula alimentação brincadeira criança refeitório diretora ambient obra observei elétrica escola conta água trabalho construtora aula prazo obra carimbo andamento certo secretaria educação aula abril abril sexta-feira criança aula serviço combinado saudad escola saudad escola escola comunidad limpinha lixo telhado pronto volta deixa ninguém abril escola
"Calendário JPB1 acompanha obra no Mercado do Geisel, em João Pessoa-7846170.wav",hora digit vivo mercado andamento content luta tempão mundo satisfeito feliz galera satisfeita content mundo casa situação mercado imagen visita início situação serviço serviço pintura projeto ficaria mercado obra chuva bocado último andamento vivo turma situação terra poeira frent casamento mestr fera mundo casa vivo diferent início coração esperança acabando início coração limpeza lixo banheiro banheiro paradinha cabra secretário orçamento participativo verdad início andamento pouquinho caixa esgoto calor saneamento básico terra lama pouquinho engenheiro empresa responsável irmãozinho nome andamento início etapa pavimentação etapa pavimentação problema saneamento apelo proposta sangramento andamento rapaz mentação enfim desejo população show bola contigo negócio prazo senhor sorriso rosto negócio satisfação melhor alimentação frent negócio
Calendário JPB volta à praça no Castelo Branco-6034316.wav,equip praça promessa espaço mesa representant projeto reforma praça brilho mundo compromisso última visita licitação obra obra obra praça chuva compromisso praça compromisso comunidad compromisso alegria senhora obra alegria promessa promessa obra data ninguém verdad chuva canteiro obra obra movimentação construtora limpeza praça lembro período contato comigo limpeza praça difícil limpeza praça dificuldad dificuldad resposta dia resposta resposta present resposta
Calendário JPB - Secretário de esportes assume compromisso com moradores de Mangabeira-5601361.wav,capit parceria comunidad notícia calma avanço important tamanho abandono ginásio tamanho importância comunidad história missão important situação secretário esport secretário pontualíssimo conosco comunidad licitação consciência processo licitatório notícia prazo recurso trâmite início obra obra urgent secretário última visita telha ginásio isso risco comunidad risco guarita secretário senhor criança vândalo espaço insegurança espaço droga prostituição cheiro banheiro insegurança medo proposta ginásio contrário droga prostituição cultura esport comunidad prefeito aceleração obra interess passo criança construção reconstrução ginásio ginásio important jogo escolar causa vizinho você quanto secretário dificuldad locomoção
"Calendário JPB - Depois de quatro anos, prefeitura inicia obra de Centro da Juventude-5843559.wav",caso reportagem assunto especi senhor urgent perseverança cidadania centro servia abrigo carimbo andamento gostinho resolvido centro entrada vândalo diferent porta pronto sorriso detalh resultado cara serviço serviço antiga visita centro prédio secretaria educação município prédio conquista devolução prédio terreno futuro comunidad pendência centro juventud invé juventud história trist passado futuro centro juventud joven recepção
Calendário JPB - moradores do José Pinheiro reclamam do trânsito-5424144.wav,zona lest trânsito cruzamento seguint sinalização loucura música infantil pedrinha brilhant amor asfalto tapet cruzamento detalh important sinalização cruzamento bagunça comerciant trânsito tranquilo cruzamento trânsito solução hora nojenta loucura horrível horrível barulho horrível minuto ninguém prioridad rua pedestr trânsito trânsito parada ninguém ninguém cruzamento acident direto princip direto indireto senhora rapaz carro jogo perna acident gerent operaçõ sttp iremo part sinalizaçõ déficit sinalização horizont placa faremo pintura colocaremo velocidad trabalho pintura via colocaremo agent trânsito tráfico
Calendário JPB volta a Santa Rita-5391310.wav,bloco amiga brava chamei siri lata cheio problema notícia pouquinho história zona rural obra comunidad atendimento médico carro roupa sala casa e-mail morador pedido socorro família atendimento médica razão salário notícia comunidad posto saúd novinho folha obra fevereiro posto saúd comunidad mudança prefeito luta difícil alguém ninguém difícil secretário saúd trabalho trabalho comunidad imagen posto saúd obra crise papel ruim carimbo cicerolândia amigo
Calendário JPB - creche em Santa Rita vira obra inacababa-6830870.wav,hora quadro quadro jeito obra cidad prédio crech dinheiro obra detalh rapaz crech obra pior fase acabamento sala criança comunidad porta materi abandono telha dinheiro ralo família filho última março representant secretaria coordenadora jurídica município licitação escolha empresa retorno junho resposta portão vigia imagen portão muro facilidad acesso direto criança produção entro contato coordenadora jurídica licitação pronta licitação pronto empresa reforma crech município prioridad funcionamento criança tempão previsão reforma novembro novembro condição data hora crech feriado resposta volta notícia paliativo segurança mínimo mínimo princip prazo conclusão obra
Calendário JPB vai ao bairro de Oitizeiro em João Pessoa-5003897.wav,oitizeiro endereço abandono definição cheia cratera janeiro visita remendo buraco última chuva buraco última chuva situação buraco casa ideia força água post tombou situação última reportagem buraco cratera mont última serviço terraplanagem situação paliativo chuvinha volta cartela buraco direção buraco casa buraco aterro última reportagem situação chuva carro rua cinegrafista galeria pluvial água chuva água chuva última reportagem força água galeria pluvial cheia aterro água força água casa mureta água buraco
"Calendário JPB volta à rua no bairro de Mangabeira, em João Pessoa-7748513.wav",água casa poeira situação cara amor chuva fort jeito casa semana rodovia todinho casa moto rampa água distância alta calçada alta post post buraco casa acident carro feliz alaga cobra rato altura água calçada casa problemão família doent casa hora quantidad negócio ruim situação ninguém ninguém alguém ninguém rapaz senhora ninguém empresa lama água incômodo homem banho secretaria infraestrutura situação responsabilidad seinfra serviço andamento
"'Calendário JPB' tem carimbo de resolvido em Tibiri, Santa Rita-6063902.wav",comemoração carimbo tibiri cratera água invad casa infraestrutura bora quem junho trânsito calçada força senhor buraco comigo televisão certo present início obra volta obra pronta mulher senhor casa briga fevereiro ex-prefeito present trabalho pequeno tubulação água tubulação esgoto tubulação drenagem destruída água casa casa alta moradora muletinha informação encheu água tubulação maneira substituída volum água vazão água secretária infraestrutura força equip vontad problemão vida secretária cumprimo missão refizemo tubulação colocamo calçamento pedido população acordo possibilidad chuva gestão comida
Calendário JPB mostra situação de escola em Santa Rita-6867521.wav,volta situação filho reforma quadra esport fico negócio ambient negócio olha quadra missão dura quantidad lixo redor ginásio sorriso rosto criança situação acident luta jamai coração coração espaço parabén dignidad dignidad espaço eficient qualidad criança vulnerabilidad social público criança criança supervisão professor adulto bolinha lixo negócio tudinho sapato menino bola cabeça menino quadra sério lixo imagem lixo situação localidad lixo população pessoa
Calendário JPB em Tambiá.-4213633.wav,ginásio situação capit confira isso fevereiro carinho nora ginásio comunidad prática esport joven maio maio comunidad verdad andamento chave população ginásio limpeza ginásio infiltração serviço manta calça jean redor impermeabilização água paralisação limpeza manutenção ginásio ginásio comunidad exatament comunidad sinal ginásio possibilidad aniversário evento igreja católica evangélica centro-bairro reuniõ certo evento esportivo clamor filho neto churrasco batatinha lanchonet pessoa sábado feliz andamento obra pião maio volta andamento ginásio obra pronta junho obra ginásio junho quarta-feira
Calendário JPB retorna a PSF para cobrar conclusão de obra-7366794.wav,desperdício dinheiro público capit unidad saúd família trabalho trabalho feijão verd oitizeiro comunidad ajuda feijão andamento obra construção unidad básica saúd comunidad população jeito posto mundo dificuldad peço jeito difícil senhora posto rapaziada olhar força empresa prefeitura praça população eleição acabamento janela pronto única diferent mato criadouro mosquito aed água pronto cerâmica porta instalação elétrica lâmpada público resposta satisfação serviço resposta espero satisfação andamento casa pessoa abril gosto
Calendário JPB faz um balanço dos casos de 2016-5543934.wav,retrospectiva cabeça mega-sena casa reportagem plano dinheiro coração especi abertura período difícil problemática economia administraçõ prefeitura estado enfim marca período eleitor conta período eleitor prefeitura difícil difícil trabalho diário formiguinha vida alguém ajuda imagen originário maravilhosa caso important cidad problema grosso linda festa pedaço pedaço mesmo prefeito criança janeiro menininha filha caso amizad amigo conheço nome verdad caso público semáforo cruzamento cruzamento acident mort clusiv acident ônibu moto motociclista simpl fato semáforo ajeitada canto inteiro gerassem acident cruzamento situação
Calendário JPB volta a Altiplano-4601963.wav,situação grave posto saúd reforma obra maneira precária situação carimbo moradora obra conta precária estrutura situação grave moradora injeção atendimento profission saúd mão moradora situação melhor pena pena unidad unidad saúd qualidad história situação pessoa consulta mão sala vacina vacina longa distância vacina vacina certinho dia citológico semana beleza farmácia consultório médico novinho consultório odontológico médico unidad saúd remédio qualidad novidad secretaria saúd coleta sangu atendimento comunidad satisfeita equipamento outubro qualidad comunidad ampliação serviço nutricionista educador físico fisioterapeuta equip saúd família completa médico enfermeiro técnico enfermagem equip administrativo comunidad serviço missão verdad missão bondad cidad secretaria saúd feliz feliz posto
Calendário JPB cobra reforma de quadra de esportes no Distrito de Galante-5442983.wav,cobrança quadra esport comunidad reivindicação população important atividad física vida important pessoa ginásio esport cidad situação pessoa vontad afin conta ginásio segurança conta única quadra esport telhado ginásio buraco part telha depósito lixo cheiro ruim esport lixo coisa medo medo acident risco caso telha alguém situação acesso caixa energia verdad caixa solto criança joven ginásio time handebol risco teto ninguém condiçõ cheiro lixo quadra situação ano planta limpeza coisa época contribuição racha materi rede rede situação rede bola mandei água torneira chuveiro
Calendário JPB  - Dona Francisca vai receber auxílio aluguel da Prefeitura de João Pessoa-5971716.wav,meio-dia bora notícia casa companhia problemão mulher casa buraco sala cedinho boa olha madrugada chuva história água casa grama situação amor solidariedad amor mundo livr doutor expedient ministério público comunidad novidad reunião representant casa acordo compromisso história procurador município doutor gabinet convit reunião conversa conscientização autor ação tramitação reintegração poss invasão motivo vida risco present hora manhã interdição indicação demolição questõ técnica encaminhamento sede secretaria plano sociai unidad habitação cheguei promotor estrela coordenador senhora casa casa risco feliz notícia intermediação acordo consenso situação moradora auxílio-aluguel programa habitação
Calendário JPB acompanha reforma de ginásio em Bayeux-7634722.wav,reforma ginásio última visita promessa hora construção quadra fera capacet bonita bonita capacet ruim jeito ginásio pronto abraço ginásio tapum grade substituição prazinho turma resto olho serviço dia cabeça hora televisão última visita obra tempinho coração passo grade portão invasõ utilização prédio seguida manutenção conclusão banheiro pintura elétrica próximo restant recurso fato quadra negócio estrutura negócio víru banheiro praia visita andamento segura prazo serviço interna junho volta serviço voto credibilidad sonho senhor desafio tranquilo autoridad situação esperança expectativa expectativa tombo confio
O Calendário JPB volta ao bairro de Mangabeira em João Pessoa-4804855.wav,novembro obra esgotamento sanitário obra empresa serviço perigo criança saúd comunidad acumular água proliferação mosquito aed aegypti piscina mosquito situação volta realidad diferent sossego tanqu medo tampadinho concreto ninguém livr mosquito muriçoca tanqu risco criança criança ninguém verdad criança perigo enorm ele resposta volta compromisso limpeza terreno limpeza mato ferro obra mato obra cachorro lamento certo resposta informação obra fevereiro fevereiro obra etapa obra obra esgotamento sanitário etapa junho coração boca lobo calçada amor serviço urgent esvazi tanqu compromisso frent carimbo
Calendário JPB volta ao mercado público do Geisel-5952594.wav,dureza promessa promessa mercado situação reforma projeto última visita mercado situação obra reforma sequer representant satisfação obra representant motivo olha situação esgoto tampa lixo mercado conquista difícil difícil carinho projeto acordo mundo conta crise reforma paliativo calçamento mercado calçamento melhoria esgoto terrível barata mercado hora comida interna mercado feira livr princip trânsito comércio promessa promessa promessa usando ninguém olho olha conta interess causa comunidad respeito comerciant mercado respeito população paí família sustento banana laranja carn prefeito olhar misericórdia
